dataset,setting,subject,seed,method,accuracy,source_accuracy,delta_vs_source,mean_acc,worst_delta_vs_source,ntr_s_0p5,source_file
BCIC IV-2a,no_aug_5seed_4subj,S6,3,replay_safe_uniform,67.71,missing,missing,66.32,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S7,1,replay_safe_uniform,93.4,missing,missing,92.13,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S7,2,replay_safe_uniform,91.67,missing,missing,92.13,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S7,3,replay_safe_uniform,91.32,missing,missing,92.13,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S2,1,replay_h6_weighted,62.5,missing,missing,65.277,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S2,2,replay_h6_weighted,67.01,missing,missing,65.277,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S2,3,replay_h6_weighted,66.32,missing,missing,65.277,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S4,1,replay_h6_weighted,82.64,missing,missing,80.67,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S4,2,replay_h6_weighted,81.94,missing,missing,80.67,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S4,3,replay_h6_weighted,77.43,missing,missing,80.67,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S6,1,replay_h6_weighted,68.4,missing,missing,66.32,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S6,2,replay_h6_weighted,62.85,missing,missing,66.32,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S6,3,replay_h6_weighted,67.71,missing,missing,66.32,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S7,1,replay_h6_weighted,93.4,missing,missing,92.36,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S7,2,replay_h6_weighted,92.36,missing,missing,92.36,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_5seed_4subj,S7,3,replay_h6_weighted,91.32,missing,missing,92.36,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/b_5seed_4subj_20260506_005153/summary.json
BCIC IV-2a,no_aug_seed0,S7,0,source_only,86.81,missing,missing,missing,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/a1_9subject_no_shallow_20260505_182651/eval/s7/source_only/results.txt
BCIC IV-2a,no_aug_seed0,S7,0,policy_safe_no_shallow,88.19,missing,missing,missing,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/a1_9subject_no_shallow_20260505_182651/eval/s7/policy_safe_no_shallow/results.txt
BCIC IV-2a,no_aug_seed0,S7,0,replay_safe_uniform,89.24,missing,missing,missing,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/replay_safe_9subject_20260505_212942/eval/s7/replay_safe_default/results.txt
BCIC IV-2a,no_aug_seed0,S7,0,replay_h6_weighted,89.24,missing,missing,missing,missing,missing,/mnt/data/seiya.narukawa/intentflow/intentflow/offline/results/replay_h6_9subject_20260506_004038/eval/s7/replay_h6_weighted/results.txt
